city_code,city_name,province,cluster_id,CN-城市,CN-城市群
440800,Zhanjiang City,Guangdong ,Beibu Gulf,湛江市,北部湾
440900,Maoming City,Guangdong ,Beibu Gulf,茂名市,北部湾
441700,Yangjiang City,Guangdong ,Beibu Gulf,阳江市,北部湾
450100,Nanning City,Guangxi ,Beibu Gulf,南宁市,北部湾
450500,Beihai City,Guangxi ,Beibu Gulf,北海市,北部湾
450600,Fangchenggang City,Guangxi ,Beibu Gulf,防城港市,北部湾
450700,Qinzhou City,Guangxi ,Beibu Gulf,钦州市,北部湾
450900,Yulin City,Guangxi ,Beibu Gulf,玉林市,北部湾
451400,Chongzuo City,Guangxi ,Beibu Gulf,崇左市,北部湾
460100,Haikou City,Hainan ,Beibu Gulf,海口市,北部湾
460400,Danzhou City,Hainan ,Beibu Gulf,儋州市,北部湾
469007,Dongfang City,Hainan ,Beibu Gulf,东方市,北部湾
469023,Chengmai County,Hainan ,Beibu Gulf,澄迈县,北部湾
469024,Lingao County,Hainan ,Beibu Gulf,临高县,北部湾
469026,Changjiang Li Autonomous County,Hainan ,Beibu Gulf,昌江黎族自治县,北部湾
500000,Chongqing City,Chongqing,Chengdu - Chongqing Region,重庆市,成渝
510100,Chengdu City,Sichuan ,Chengdu - Chongqing Region,成都市,成渝
510600,Deyang City,Sichuan ,Chengdu - Chongqing Region,德阳市,成渝
510700,Mianyang City,Sichuan ,Chengdu - Chongqing Region,绵阳市,成渝
510800,Guangyuan City,Sichuan ,Chengdu - Chongqing Region,广元市,成渝
510900,Suining City,Sichuan ,Chengdu - Chongqing Region,遂宁市,成渝
511000,Neijiang City,Sichuan ,Chengdu - Chongqing Region,内江市,成渝
511100,Leshan City,Sichuan ,Chengdu - Chongqing Region,乐山市,成渝
511300,Nanchong City,Sichuan ,Chengdu - Chongqing Region,南充市,成渝
511400,Meishan City,Sichuan ,Chengdu - Chongqing Region,眉山市,成渝
511500,Yibin City,Sichuan ,Chengdu - Chongqing Region,宜宾市,成渝
511600,Guang'an City,Sichuan ,Chengdu - Chongqing Region,广安市,成渝
511700,Dazhou City,Sichuan ,Chengdu - Chongqing Region,达州市,成渝
511800,Ya'an City,Sichuan ,Chengdu - Chongqing Region,雅安市,成渝
511900,Bazhong City,Sichuan ,Chengdu - Chongqing Region,巴中市,成渝
512000,Ziyang City,Sichuan ,Chengdu - Chongqing Region,资阳市,成渝
530100,Kunming City,Yunnan ,Central Yunnan,昆明市,滇中
530300,Qujing City,Yunnan ,Central Yunnan,曲靖市,滇中
530400,Yuxi City,Yunnan ,Central Yunnan,玉溪市,滇中
140800,Yuncheng City,Shanxi ,Guanzhong Plain,运城市,关中平原
141000,Linfen City,Shanxi ,Guanzhong Plain,临汾市,关中平原
610100,Xi'an City,Shaanxi ,Guanzhong Plain,西安市,关中平原
610300,Baoji City,Shaanxi ,Guanzhong Plain,宝鸡市,关中平原
610400,Xianyang City,Shaanxi ,Guanzhong Plain,咸阳市,关中平原
610500,Weinan City,Shaanxi ,Guanzhong Plain,渭南市,关中平原
611000,Shangluo City,Shaanxi ,Guanzhong Plain,商洛市,关中平原
620500,Tianshui City,Gansu ,Guanzhong Plain,天水市,关中平原
620800,Pingliang City,Gansu ,Guanzhong Plain,平凉市,关中平原
621000,Qingyang City,Gansu ,Guanzhong Plain,庆阳市,关中平原
220100,Changchun City,Jilin ,Harbin - Changchun Region,长春市,哈长
220200,Jilin City,Jilin ,Harbin - Changchun Region,吉林市,哈长
220300,Siping City,Jilin ,Harbin - Changchun Region,四平市,哈长
220400,Liaoyuan City,Jilin ,Harbin - Changchun Region,辽源市,哈长
220700,Songyuan City,Jilin ,Harbin - Changchun Region,松原市,哈长
222400,Yanbian Korean Autonomous Prefecture,Jilin ,Harbin - Changchun Region,延边朝鲜族自治州,哈长
230100,Harbin City,Heilongjiang ,Harbin - Changchun Region,哈尔滨市,哈长
230200,Qiqihaer City,Heilongjiang ,Harbin - Changchun Region,齐齐哈尔市,哈长
230600,Daqing City,Heilongjiang ,Harbin - Changchun Region,大庆市,哈长
231000,Mudanjiang City,Heilongjiang ,Harbin - Changchun Region,牡丹江市,哈长
231200,Suihua City,Heilongjiang ,Harbin - Changchun Region,绥化市,哈长
150100,Hohhot City,Inner Mongolia,Hohhot - Baotou - Ordos - Yulin Region,呼和浩特市,呼包鄂榆
150200,Baotou City,Inner Mongolia,Hohhot - Baotou - Ordos - Yulin Region,包头市,呼包鄂榆
150600,Ordos City,Inner Mongolia,Hohhot - Baotou - Ordos - Yulin Region,鄂尔多斯市,呼包鄂榆
610800,Yulin City,Shaanxi ,Hohhot - Baotou - Ordos - Yulin Region,榆林市,呼包鄂榆
110000,Beijing,Beijing,Beijing - Tianjin - Hebei Region,北京市,京津冀
120000,Tianjin City,Tianjin,Beijing - Tianjin - Hebei Region,天津市,京津冀
130100,Shijiazhuang City,Hebei ,Beijing - Tianjin - Hebei Region,石家庄市,京津冀
130200,Tangshan City,Hebei ,Beijing - Tianjin - Hebei Region,唐山市,京津冀
130300,Qinhuangdao City,Hebei ,Beijing - Tianjin - Hebei Region,秦皇岛市,京津冀
130400,Handan City,Hebei ,Beijing - Tianjin - Hebei Region,邯郸市,京津冀
130500,Xingtai City,Hebei ,Beijing - Tianjin - Hebei Region,邢台市,京津冀
130600,Baoding City,Hebei ,Beijing - Tianjin - Hebei Region,保定市,京津冀
130700,Zhangjiakou City,Hebei ,Beijing - Tianjin - Hebei Region,张家口市,京津冀
