province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Zhejiang ,2020,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2020,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2020,Ganzhou City,360700,40000,江西,赣州
Hubei ,2020,Jingmen City,420800,4000,湖北,荆门
Guangdong ,2020,Zhuhai City,440400,10000,广东,珠海
Henan ,2020,Luoyang City,410300,2000,河南,洛阳
Zhejiang ,2021,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2021,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2021,Ganzhou City,360700,40000,江西,赣州
Hubei ,2021,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2021,Zhuhai City,440400,10000,广东,珠海
Henan ,2021,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2021,Zhuhai City,440400,30000,广东,珠海
Hunan ,2021,Zhuzhou City,430200,530,湖南,株洲
Hunan ,2021,Yueyang City,430600,3262,湖南,岳阳
Hunan ,2021,Changsha City,430100,50000,湖南,长沙
Hunan ,2021,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2021,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2021,Ganzhou City,360700,20000,江西,赣州
Zhejiang ,2022,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2022,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2022,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2022,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2022,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2022,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2022,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2022,Ganzhou City,360700,40000,江西,赣州
Hubei ,2022,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2022,Zhuhai City,440400,10000,广东,珠海
Henan ,2022,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2022,Zhuhai City,440400,30000,广东,珠海
Hunan ,2022,Changsha City,430100,530,湖南,长沙
Hunan ,2022,Changsha City,430100,3262,湖南,长沙
Hunan ,2022,Changsha City,430100,50000,湖南,长沙
Hunan ,2022,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2022,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2022,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2022,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2022,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2022,Xinyu City,360500,30000,江西,新余
Jiangxi ,2022,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2022,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2022,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2022,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2022,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2022,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2022,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2022,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2022,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2022,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2022,Ningde City,350900,12000,福建,宁德
Henan ,2022,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2022,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2022,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2022,Suining City,510900,100000,四川,遂宁
Zhejiang ,2023,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2023,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2023,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2023,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2023,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2023,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2023,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,40000,江西,赣州
Hubei ,2023,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2023,Zhuhai City,440400,10000,广东,珠海
Henan ,2023,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2023,Zhuhai City,440400,30000,广东,珠海
Hunan ,2023,Changsha City,430100,530,湖南,长沙
Hunan ,2023,Changsha City,430100,3262,湖南,长沙
Hunan ,2023,Changsha City,430100,50000,湖南,长沙
Hunan ,2023,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2023,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2023,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2023,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2023,Xinyu City,360500,30000,江西,新余
Jiangxi ,2023,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2023,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2023,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2023,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2023,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2023,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2023,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2023,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2023,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2023,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2023,Ningde City,350900,12000,福建,宁德
Henan ,2023,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2023,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2023,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2023,Suining City,510900,100000,四川,遂宁
Gansu ,2023,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2023,Baiyin City,620400,800,甘肃,白银
Hubei ,2023,Jingmen City,420800,45000,湖北,荆门
Hunan ,2023,Changsha City,430100,120000,湖南,长沙
Anhui ,2023,Wuhu City,340200,500,安徽,芜湖
Anhui ,2023,Fuyang City,341200,11250,安徽,阜阳
