year,origin_city,origin_province,target_province,target_city,tons,distance_km,ton_km,scenario
2020,440300,guangdong,guangdong,440400,6832.9476270000005,113.943,778566.551463261,radius300
2020,310000,shanghai,zhejiang,330800,2023.2716094,406.555,822571.1891596171,radius300
2020,440100,guangdong,guangdong,440400,1694.13250995,130.909,221777.19274504454,radius300
2020,610100,shaanxi,henan,410300,1330.5048273,373.63,497116.518624099,radius300
2020,410100,henan,henan,410300,669.4951727,137.744,92218.9430683888,radius300
2020,330100,zhejiang,zhejiang,330800,1000.3171275000001,220.883,220953.04807358253,radius300
2020,420100,hubei,hubei,420800,890.27643465,226.4549999,201607.5499196381,radius300
2020,430100,hunan,hubei,420800,838.2941820000001,403.982,338655.7602327241,radius300
2020,320100,jiangsu,zhejiang,330800,669.4320654,435.409,291476.7461637486,radius300
2020,420600,hubei,hubei,420800,664.00648965,131.683,87438.36657658096,radius300
2020,420300,hubei,hubei,420800,476.7239367,292.4429999,139414.57817268572,radius300
2020,350200,fujian,guangdong,440400,343.684410075,684.142,235128.93967753067,radius300
2020,441900,guangdong,guangdong,440400,337.68474759000003,129.7,43797.711762423,radius300
2020,330200,zhejiang,zhejiang,330800,298.743287895,333.577,99653.88974615041,radius300
2020,320500,jiangsu,zhejiang,330800,288.45528075000004,369.641,106624.89843171077,radius300
2020,350500,fujian,guangdong,440400,260.18506503,763.0920001,198545.14166989122,radius300
2020,460100,hainan,guangdong,440400,258.26737734000005,566.654,146348.2424392204,radius300
2020,360100,jiangxi,jiangxi,360700,258.11507038499997,390.039,100674.943937895,radius300
2020,440600,guangdong,guangdong,440400,228.404223855,126.661,28929.907397698156,radius300
2020,330600,zhejiang,zhejiang,330800,222.86679759,250.0499999,55727.84271509282,radius300
2020,321000,jiangsu,zhejiang,330800,206.7066747,475.554,98300.1859802838,radius300
2020,320200,jiangsu,zhejiang,330800,203.99618529,415.109,84680.65247954661,radius300
2020,330700,zhejiang,zhejiang,330800,178.050129255,90.504,16114.248898094522,radius300
2020,330500,zhejiang,zhejiang,330800,172.33661637,299.635,51638.08204602495,radius300
2020,431000,hunan,jiangxi,360700,160.121078145,243.851,39045.6850267364,radius300
2020,430900,hunan,hubei,420800,159.462119295,342.057,54545.13413968982,radius300
2020,340200,anhui,zhejiang,330800,158.73734961,346.651,55026.46097965611,radius300
2020,331000,zhejiang,zhejiang,330800,149.43776598,308.4329999,46091.53845956556,radius300
2020,330300,zhejiang,zhejiang,330800,121.74312073499999,294.379,35838.618138848564,radius300
2020,330300,zhejiang,zhejiang,330800,121.74312073499999,294.379,35838.618138848564,radius300
2020,430500,hunan,jiangxi,360700,120.30696054000002,551.152,66307.4219155421,radius300
2020,430400,hunan,jiangxi,360700,117.32029479,425.9399999,49971.40635112057,radius300
2020,350700,fujian,zhejiang,330800,112.39133706,238.1490001,26765.884540741074,radius300
2020,360700,jiangxi,jiangxi,360700,111.22871211,10.0,1112.2871211000001,radius300
2020,360900,jiangxi,jiangxi,360700,101.53717029,291.165,29564.070187487854,radius300
2020,440500,guangdong,guangdong,440400,44.69403915999959,433.481,19374.016789115783,radius300
2020,321100,jiangsu,zhejiang,330800,92.566718235,445.2550001,41215.794136981596,radius300
2020,320400,jiangsu,zhejiang,330800,92.53627263,419.247,38795.55469130961,radius300
2020,341500,anhui,hubei,420800,90.086895225,505.2139999,45513.160675194464,radius300
2020,410400,henan,hubei,420800,78.213417525,379.346,29669.94708443865,radius300
2020,430600,hunan,hubei,420800,77.155936065,274.5029999,21179.535909935104,radius300
2020,320600,jiangsu,zhejiang,330800,75.94507305,466.181,35404.15009952205,radius300
2020,420200,hubei,hubei,420800,73.93093245,333.006,24619.444091444697,radius300
2020,411300,henan,hubei,420800,72.91188873,258.636,18857.63925357228,radius300
2020,330400,zhejiang,zhejiang,330800,68.10699321,317.064,21594.275695135442,radius300
2020,321200,jiangsu,zhejiang,330800,67.930995375,510.207,34658.86935729262,radius300
2020,360800,jiangxi,jiangxi,360700,61.809983865,187.37,11581.33667678505,radius300
2020,430200,hunan,jiangxi,360700,61.49097711,408.6109999,25125.889641745114,radius300
2020,420900,hubei,hubei,420800,60.993825615000006,199.536,12170.463987914642,radius300
2020,361000,jiangxi,jiangxi,360700,58.397681115,337.686,19720.07934499989,radius300
2020,361000,jiangxi,jiangxi,360700,58.397681115,337.686,19720.07934499989,radius300
2020,360400,jiangxi,jiangxi,360700,57.720228615,515.5619999,29758.356499434612,radius300
2020,360500,jiangxi,jiangxi,360700,57.268178819999996,272.861,15626.252541004018,radius300
2020,350900,fujian,zhejiang,330800,55.061837325,386.3289999,21271.98454642374,radius300
2020,341100,anhui,zhejiang,330800,53.697395115000006,479.894,25769.057731317815,radius300
2020,340800,anhui,hubei,420800,53.34453999,530.488,28298.638330215123,radius300
2020,361100,jiangxi,jiangxi,360700,52.348587435,510.6810001,26733.428985128092,radius300
2020,420500,hubei,hubei,420800,43.4486062395,124.575,5412.610122285713,radius300
2020,350400,fujian,jiangxi,360700,42.4106990055,358.305,15195.965507165678,radius300
2020,411500,henan,hubei,420800,42.394298076,309.251,13110.479074301074,radius300
2020,331100,zhejiang,zhejiang,330800,39.9659036085,190.6370001,7618.979970210205,radius300
2020,421200,hubei,hubei,420800,38.99490975,290.6099999,11332.310718548008,radius300
2020,430700,hunan,hubei,420800,36.1569358845,257.086,9295.442018802567,radius300
2020,411700,henan,hubei,420800,35.505775489499996,399.971,14201.280528310803,radius300
2020,360300,jiangxi,jiangxi,360700,33.5068704675,329.681,11046.578562595867,radius300
2020,431300,hunan,jiangxi,360700,33.488843571000004,526.738,17639.8464849014,radius300
2020,350800,fujian,jiangxi,360700,33.028060005,287.712,9502.56920015856,radius300
2020,421100,hubei,hubei,420800,29.181857296500002,305.867,8925.767145708567,radius300
2020,433100,hunan,hubei,420800,28.9818798885,501.335,14529.630753901147,radius300
2020,341800,anhui,zhejiang,330800,28.5376274865,308.272,8797.351500518327,radius300
2020,330900,zhejiang,zhejiang,330800,27.7406816445,421.291,11686.899510693049,radius300
2020,421000,hubei,hubei,420800,25.8179499675,84.726,2187.451628946405,radius300
2020,420700,hubei,hubei,420800,24.615447178500002,309.3819999,7615.576276517142,radius300
2020,422800,hubei,hubei,420800,23.9080067235,330.808,7908.959888187588,radius300
2020,430300,hunan,jiangxi,360700,23.6982078405,436.741,10349.978990467811,radius300
2020,420800,hubei,hubei,420800,20.178672354,10.0,201.78672354,radius300
2020,360600,jiangxi,jiangxi,360700,20.146620366,410.1550001,8263.237078231392,radius300
2020,360600,jiangxi,jiangxi,360700,20.146620366,410.1550001,8263.237078231392,radius300
2020,341000,anhui,zhejiang,330800,18.726668275500003,143.251,2682.613957133651,radius300
2020,430800,hunan,hubei,420800,18.4478920785,349.454,6446.689678400139,radius300
2020,340700,anhui,zhejiang,330800,18.342676691999998,312.4210001,5730.6373966256,radius300
2020,330800,zhejiang,zhejiang,330800,18.009024435,10.0,180.09024435,radius300
2020,360200,jiangxi,jiangxi,360700,16.7862625605,536.116,8999.383938885017,radius300
2020,340500,anhui,zhejiang,330800,15.5614764285,389.073,6054.55031846578,radius300
2020,610900,shaanxi,hubei,420800,15.536748258000001,451.478,7014.500030025325,radius300
2020,421300,hubei,hubei,420800,14.538067434,209.4870001,3045.5361340001646,radius300
2020,341700,anhui,zhejiang,330800,12.386828547,293.297,3633.019652349459,radius300
2020,611000,shaanxi,hubei,420800,10.330413948,507.292,5240.536352508816,radius300
2020,411100,henan,hubei,420800,7.586011422,427.2470001,3241.1006227738353,radius300
2020,440200,guangdong,jiangxi,360700,5.361375150000001,210.958,1131.0249788937,radius300
2020,429021,hubei,hubei,420800,3.6737454735,266.659,979.6372942180365,radius300
2020,429005,hubei,hubei,420800,3.557904516,129.571,461.00124604263596,radius300
2020,429004,hubei,hubei,420800,3.522021966,182.79,643.79039516514,radius300
2020,429006,hubei,hubei,420800,3.3624014265,133.8689999,450.12131622788837,radius300
2020,441600,guangdong,jiangxi,360700,2.9117261385,270.131,786.5474935191435,radius300
2021,440300,guangdong,guangdong,440400,14626.214374999998,113.943,1666554.7445306247,radius300
2021,310000,shanghai,zhejiang,330800,4637.607639499999,406.555,1885442.5738769223,radius300
2021,440100,guangdong,guangdong,440400,4400.6283674999995,130.909,576081.8589610574,radius300
2021,610100,shaanxi,henan,410300,2000.0,373.63,747260.0,radius300
2021,330100,zhejiang,zhejiang,330800,2392.8036654999996,220.883,528529.6520466364,radius300
2021,430100,hunan,hunan,430100,2042.6268424999998,10.0,20426.268425,radius300
2021,420100,hubei,hubei,420800,1990.5285684999997,226.4549999,450765.14678061457,radius300
2021,320100,jiangsu,zhejiang,330800,1590.5732139999998,435.409,692549.892534526,radius300
2021,420600,hubei,hubei,420800,1431.2349704999997,131.683,188469.31462035145,radius300
2021,441900,guangdong,guangdong,440400,1114.0619634999998,129.7,144493.83666594996,radius300
2021,420300,hubei,hubei,420800,977.5457669999998,292.4429999,285876.4166410264,radius300
2021,350200,fujian,guangdong,440400,893.5940349999998,684.142,611345.21029297,radius300
2021,320500,jiangsu,zhejiang,330800,769.0181809999999,369.641,284260.649443021,radius300
2021,330200,zhejiang,zhejiang,330800,727.1567489999999,333.577,242562.76686117295,radius300
2021,360100,jiangxi,jiangxi,360700,633.6395799999999,390.039,247144.14814361997,radius300
2021,440600,guangdong,guangdong,440400,608.9334649999998,126.661,77128.12161036498,radius300
2021,460100,hainan,guangdong,440400,585.0177829999999,566.654,331502.66680808197,radius300
2021,350500,fujian,guangdong,440400,577.2352829999999,763.0920001,440483.6266327594,radius300
2021,320200,jiangsu,zhejiang,330800,497.56334619999996,415.109,206543.02307773576,radius300
2021,330600,zhejiang,zhejiang,330800,487.17859914999997,250.0499999,121819.00866873963,radius300
2021,330700,zhejiang,zhejiang,330800,455.94506409999997,90.504,41264.8520813064,radius300
2021,321000,jiangsu,zhejiang,330800,434.27904649999994,475.554,206523.13767926095,radius300
2021,330500,zhejiang,zhejiang,330800,429.07759004999997,299.635,128566.66369463173,radius300
2021,350700,fujian,zhejiang,330800,404.10132869999995,238.1490001,96236.32736898641,radius300
2021,331000,zhejiang,zhejiang,330800,380.35723329999996,308.4329999,117314.72250038317,radius300
2021,330300,zhejiang,zhejiang,330800,373.01080759999996,294.379,109806.5485304804,radius300
2021,330300,zhejiang,zhejiang,330800,373.01080759999996,294.379,109806.5485304804,radius300
2021,340200,anhui,zhejiang,330800,366.0094049499999,346.651,126877.52623532242,radius300
2021,430900,hunan,hunan,430100,361.61191584999995,78.07300001,28232.127109773166,radius300
2021,431000,hunan,hunan,430200,322.4196764999999,266.003,85764.60120802947,radius300
2021,430400,hunan,hunan,430200,207.58032350000008,142.309,29540.54825696151,radius300
2021,430400,hunan,hunan,430100,81.62204369999989,189.556,15471.94811559718,radius300
2021,450300,guangxi,hunan,430100,280.52555234999994,515.297,144553.97554929793,radius300
2021,440500,guangdong,guangdong,440400,264.34854784999993,433.481,114590.07287056583,radius300
2021,360700,jiangxi,jiangxi,360700,252.88122379999996,10.0,2528.8122379999995,radius300
2021,430500,hunan,hunan,430100,241.77653944999997,234.094,56598.43722600829,radius300
2021,341500,anhui,hubei,420800,234.29927904999997,505.2139999,118371.27594253675,radius300
2021,440400,guangdong,guangdong,440400,228.92632574999996,10.0,2289.2632575,radius300
2021,360900,jiangxi,jiangxi,360700,228.07537309999998,291.165,66407.5660086615,radius300
2021,320400,jiangsu,zhejiang,330800,216.97130724999997,419.247,90964.56965064074,radius300
2021,442000,guangdong,guangdong,440400,211.11535584999996,44.055,9300.687001971748,radius300
2021,411300,henan,hubei,420800,209.58955629999997,258.636,54207.404483206796,radius300
2021,321100,jiangsu,zhejiang,330800,204.45262804999996,445.2550001,91033.554922848,radius300
2021,320600,jiangsu,zhejiang,330800,203.56855529999999,466.181,94899.79267830928,radius300
2021,410400,henan,hubei,420800,191.25172994999997,379.346,72550.57874961269,radius300
2021,330400,zhejiang,zhejiang,330800,187.70415629999997,317.064,59514.230613103195,radius300
2021,430600,hunan,hunan,430600,186.64246959999997,10.0,1866.4246959999996,radius300
2021,431200,hunan,hunan,430100,184.83667234999996,361.321,66785.37129017434,radius300
2021,321200,jiangsu,zhejiang,330800,181.40783589999998,510.207,92555.54773103129,radius300
2021,431100,hunan,hunan,430100,172.00109714999996,314.217,54045.66874318154,radius300
2021,420200,hubei,hubei,420800,162.12031449999998,333.006,53987.03745038699,radius300
2021,430200,hunan,hunan,430100,158.39491949999996,74.403,11785.057195558498,radius300
2021,360800,jiangxi,jiangxi,360700,150.81296504999997,187.37,28257.825261418497,radius300
2021,361000,jiangxi,jiangxi,360700,145.59732234999998,337.686,49166.17739508209,radius300
2021,361000,jiangxi,jiangxi,360700,145.59732234999998,337.686,49166.17739508209,radius300
2021,360400,jiangxi,jiangxi,360700,137.08122849999998,515.5619999,70673.87231420887,radius300
2021,341100,anhui,zhejiang,330800,133.93224149999998,479.894,64273.279102400986,radius300
2021,361100,jiangxi,jiangxi,360700,133.27984959999998,510.6810001,68063.48688690558,radius300
2021,420900,hubei,hubei,420800,132.43251239999998,199.536,26425.053794246396,radius300
2021,350600,fujian,guangdong,440400,131.36677509999998,632.631,83106.69429828809,radius300
2021,350900,fujian,zhejiang,330800,127.44986379999999,386.3289999,49237.578419245205,radius300
2021,441300,guangdong,guangdong,440400,121.97877559999999,202.225,24667.15789571,radius300
2021,411500,henan,hubei,420800,118.05507639999999,309.251,36508.6504317764,radius300
2021,340800,anhui,hubei,420800,117.27968734999999,530.488,62215.4667829268,radius300
2021,360500,jiangxi,jiangxi,360700,115.14020614999998,272.861,31417.271790295144,radius300
2021,430700,hunan,hunan,430100,110.79747649999999,165.863,18377.201844719497,radius300
2021,440700,guangdong,guangdong,440400,109.95220904999998,86.771,9540.663131477548,radius300
2021,411700,henan,hubei,420800,101.74348659999998,399.971,40694.44407888859,radius300
2021,331100,zhejiang,zhejiang,330800,100.24041929999999,190.6370001,19109.532824118138,radius300
2021,441200,guangdong,guangdong,440400,99.53054334999999,184.286,18342.0857117981,radius300
2021,420500,hubei,hubei,420800,99.52252724999998,124.575,12398.018832168747,radius300
2021,441400,guangdong,guangdong,440400,98.47275484999999,455.3199999,44836.61472845472,radius300
2021,350400,fujian,jiangxi,360700,97.96710104999998,358.305,35102.10214172024,radius300
2021,350800,fujian,jiangxi,360700,90.66540189999999,287.712,26085.524111452796,radius300
2021,450400,guangxi,guangdong,440400,90.41299559999999,339.585,30702.897110825994,radius300
2021,421200,hubei,hubei,420800,88.88127704999998,290.6099999,25829.787914612367,radius300
2021,431300,hunan,hunan,430100,86.96093734999998,138.9720001,12085.13539410029,radius300
2021,450800,guangxi,guangdong,440400,85.05786434999999,523.41,44520.136779433495,radius300
2021,360300,jiangxi,jiangxi,360700,83.97665624999999,329.681,27685.508009156245,radius300
2021,441800,guangdong,guangdong,440400,77.50310894999998,212.173,16444.067135248348,radius300
2021,420700,hubei,hubei,420800,76.61055489999998,309.3819999,23701.92668841074,radius300
2021,421100,hubei,hubei,420800,76.46740754999999,305.867,23388.85654509585,radius300
2021,421000,hubei,hubei,420800,68.95653954999999,84.726,5842.4117699132985,radius300
2021,330900,zhejiang,zhejiang,330800,68.95528984999999,421.291,29050.243016196342,radius300
2021,433100,hunan,hunan,430100,67.84355574999998,374.6780001,25419.48778808285,radius300
2021,450900,guangxi,guangdong,440400,63.705088849999996,425.13,27082.944422800498,radius300
2021,341800,anhui,zhejiang,330800,61.67120584999999,308.272,19011.505969791197,radius300
2021,422800,hubei,hubei,420800,60.258179199999994,330.808,19933.8877447936,radius300
2021,440900,guangdong,guangdong,440400,58.570688049999994,328.285,19227.87832649425,radius300
2021,522600,guizhou,hunan,430100,55.35825934999999,623.698,34526.83564007629,radius300
2021,341000,anhui,zhejiang,330800,53.63410284999999,143.251,7683.138867365349,radius300
2021,430300,hunan,hunan,430100,53.358423699999996,55.667,2970.3033721079,radius300
2021,430800,hunan,hunan,430100,49.087331424999995,320.563,15735.582223592273,radius300
2021,450500,guangxi,guangdong,440400,48.96185117999999,563.4019999,27585.204873618168,radius300
2021,340700,anhui,zhejiang,330800,48.95481747499999,312.4210001,15294.513035252456,radius300
2021,520600,guizhou,hunan,430100,48.94458537999999,463.069,22664.72020733122,radius300
2021,450700,guangxi,guangdong,440400,47.225949484999994,601.321,28397.95517026968,radius300
2021,420800,hubei,hubei,420800,45.893892859999994,10.0,458.93892859999994,radius300
2021,360600,jiangxi,jiangxi,360700,45.15572357999999,410.1550001,18520.84580947047,radius300
2021,360600,jiangxi,jiangxi,360700,45.15572357999999,410.1550001,18520.84580947047,radius300
2021,330800,zhejiang,zhejiang,330800,44.44972102999999,10.0,444.4972102999999,radius300
2021,340500,anhui,zhejiang,330800,42.33820057999999,389.073,16472.650714262334,radius300
2021,360200,jiangxi,jiangxi,360700,38.19727629999999,536.116,20478.170980850795,radius300
2021,421300,hubei,hubei,420800,37.36135326499999,209.4870001,7826.717815161188,radius300
2021,610900,shaanxi,hubei,420800,35.64485301999999,451.478,16092.866951763557,radius300
2021,341700,anhui,zhejiang,330800,33.141064439999994,293.297,9720.174777058679,radius300
2021,611000,shaanxi,hubei,420800,25.165845759999996,507.292,12766.432227281917,radius300
2021,445300,guangdong,guangdong,440400,24.328957929999998,222.621,5416.13694333453,radius300
2021,411100,henan,hubei,420800,23.293973409999996,427.2470001,9952.280259831665,radius300
2021,440800,guangdong,guangdong,440400,14.341747264999999,406.747,5833.462674796955,radius300
2021,440200,guangdong,guangdong,440400,14.259228364999998,346.929,4946.939837441084,radius300
2021,469023,hainan,guangdong,440400,11.660047644999999,611.576,7131.005298538519,radius300
2021,469021,hainan,guangdong,440400,11.660047644999999,625.921,7298.268682006044,radius300
2021,450600,guangxi,guangdong,440400,11.084206424999998,642.7640001,7124.528859667119,radius300
2021,441600,guangdong,guangdong,440400,10.627159179999998,283.2070001,3009.6858709529756,radius300
2021,429021,hubei,hubei,420800,10.332395429999998,266.659,2755.2262329683695,radius300
2021,429005,hubei,hubei,420800,10.045644294999999,129.571,1301.6241769474448,radius300
2021,429004,hubei,hubei,420800,9.995752834999998,182.79,1827.1236607096496,radius300
2021,441700,guangdong,guangdong,440400,9.716066019999998,203.382,1976.0729392796395,radius300
2021,429006,hubei,hubei,420800,9.556962344999999,133.8689999,1279.3809912071088,radius300
2021,469005,hainan,guangdong,440400,9.031858609999999,672.887,6077.420244507069,radius300
2021,469022,hainan,guangdong,440400,9.031858609999999,661.748,5976.814371450279,radius300
2021,469002,hainan,guangdong,440400,9.031858609999999,678.531,6128.396054501909,radius300
2021,469024,hainan,guangdong,440400,9.031858609999999,633.0949999,5718.024525794763,radius300
2021,451100,guangxi,guangdong,440400,6.977633259999999,384.914,2685.7887286396394,radius300
2021,441500,guangdong,guangdong,440400,6.852293494999999,270.881,1856.1561142190944,radius300
2021,445100,guangdong,guangdong,440400,4.988060564999999,459.959,2294.3033494168344,radius300
2021,445200,guangdong,guangdong,440400,3.5477588099999995,429.0800001,1522.2723505495758,radius300
2021,460400,hainan,guangdong,440400,0.9898031149999998,687.985,680.9696960732749,radius300
2022,440300,guangdong,guangdong,440300,3000.0,10.0,30000.0,radius300
2022,440300,guangdong,guangdong,440400,18949.39010365,113.943,2159150.3565801918,radius300
2022,310000,shanghai,jiangsu,320200,8015.326879000001,134.0710001,1074622.8907959417,radius300
2022,440100,guangdong,guangdong,440400,7891.2548685,130.909,1033036.2835804664,radius300
2022,510100,sichuan,sichuan,510900,6476.4848827000005,182.5799999,1182476.6092357174,radius300
2022,610100,shaanxi,shaanxi,610800,4870.586187025,557.628,2715975.234298377,radius300
2022,410100,henan,henan,410100,4512.056095920001,10.0,45120.56095920001,radius300
2022,330100,zhejiang,zhejiang,330100,4256.07995954,10.0,42560.79959540001,radius300
2022,430100,hunan,hunan,430100,3582.4325208550003,10.0,35824.325208550006,radius300
2022,340100,anhui,anhui,341100,3360.68352361,131.036,440370.52619976,radius300
2022,420100,hubei,hubei,420800,3134.16516454,226.4549999,709747.3720224892,radius300
2022,320100,jiangsu,jiangsu,320200,2734.164574115,193.671,529528.3872334261,radius300
2022,500000,chongqing,sichuan,510900,2620.131765855,162.9239999,426882.3475581469,radius300
2022,370200,shandong,jiangsu,320200,2464.975338365,678.018,1671297.6489675606,radius300
2022,441900,guangdong,guangdong,440400,2369.569973925,129.7,307333.22561807244,radius300
2022,420600,hubei,hubei,420600,2083.995065265,10.0,20839.95065265,radius300
2022,370100,shandong,henan,410100,1725.751313115,446.443,770449.5934809999,radius300
2022,350200,fujian,fujian,350900,1657.9097056100002,346.376,574260.1321903694,radius300
2022,320500,jiangsu,jiangsu,320200,1572.08938191,41.912,65889.41017461191,radius300
2022,350100,fujian,fujian,350900,1447.06068441,100.997,146148.78794335676,radius300
2022,370700,shandong,jiangsu,320200,1213.4438266099994,747.633,907210.6484199137,radius300
2022,420300,hubei,hubei,420600,1351.39273983,171.014,231107.07800928762,radius300
2022,330200,zhejiang,zhejiang,330100,1305.10164227,156.393,204108.76113953211,radius300
2022,370800,shandong,henan,410100,1263.95087821,316.824,400449.97303800506,radius300
2022,530100,yunnan,guizhou,522700,1255.975638025,617.127,775096.4775674542,radius300
2022,440600,guangdong,guangdong,440400,1149.23031996,126.661,145562.66155645356,radius300
2022,360100,jiangxi,jiangxi,360500,1144.6927688199999,152.8980001,175021.2350815096,radius300
2022,460100,hainan,guangdong,440400,983.6689877700001,566.654,557399.9665958217,radius300
2022,320300,jiangsu,anhui,341100,960.9437451550001,273.4440001,262764.3015462582,radius300
2022,350500,fujian,fujian,350900,925.4354762950001,270.569,250394.15138566188,radius300
2022,520100,guizhou,guizhou,522700,886.823296865,129.896,115194.79896957602,radius300
2022,350700,fujian,fujian,350900,885.108580135,252.3,223312.8947680605,radius300
2022,320200,jiangsu,zhejiang,330500,866.86167593,124.835,108214.67731472156,radius300
2022,330700,zhejiang,zhejiang,330700,828.600374645,10.0,8286.00374645,radius300
2022,330300,zhejiang,zhejiang,331100,810.473140845,133.4139999,108128.4635316475,radius300
2022,330300,zhejiang,zhejiang,331100,810.473140845,133.4139999,108128.4635316475,radius300
2022,410200,henan,henan,410100,498.24171275499907,78.414,39069.125663970495,radius300
2022,410200,henan,henan,410300,249.90064051500087,193.271,48298.54669297473,radius300
2022,330600,zhejiang,zhejiang,330100,746.79767143,53.856,40219.53539253408,radius300
2022,620100,gansu,gansu,620100,500.0,10.0,5000.0,radius300
2022,620100,gansu,ningxia,640100,246.03097256,426.7,104981.415991352,radius300
2022,330500,zhejiang,zhejiang,330500,741.1416733650001,10.0,7411.416733650001,radius300
2022,331000,zhejiang,zhejiang,331100,702.14167939,212.15,148959.35728258852,radius300
2022,340200,anhui,anhui,341100,654.216135965,139.6120001,91336.42323976719,radius300
2022,411400,henan,henan,410300,626.92750492,334.116,209466.5102338507,radius300
2022,321000,jiangsu,anhui,341100,625.20942946,128.656,80436.94435660576,radius300
2022,410500,henan,henan,410300,595.110453045,299.209,178062.4035451414,radius300
2022,430900,hunan,hunan,430100,554.335278245,78.07300001,43278.61818396524,radius300
2022,130100,hebei,henan,410300,528.0614015199992,523.75,276572.1590460996,radius300
2022,371700,shandong,anhui,341100,514.52990062,516.809,265913.6834095216,radius300
2022,371700,shandong,anhui,341100,514.52990062,516.809,265913.6834095216,radius300
